MoveEvent(x=204, y=179, time=1683894820.3521843)
MoveEvent(x=203, y=179, time=1683894820.3681214)
MoveEvent(x=203, y=181, time=1683894820.3836894)
MoveEvent(x=203, y=182, time=1683894820.391624)
MoveEvent(x=203, y=184, time=1683894820.3998218)
MoveEvent(x=203, y=185, time=1683894820.4077313)
MoveEvent(x=202, y=187, time=1683894820.4160852)
MoveEvent(x=199, y=190, time=1683894820.4232807)
MoveEvent(x=199, y=193, time=1683894820.4313684)
MoveEvent(x=199, y=199, time=1683894820.439285)
MoveEvent(x=198, y=205, time=1683894820.4481473)
MoveEvent(x=198, y=214, time=1683894820.4560912)
MoveEvent(x=198, y=221, time=1683894820.463664)
MoveEvent(x=198, y=229, time=1683894820.471547)
MoveEvent(x=198, y=236, time=1683894820.479627)
MoveEvent(x=199, y=243, time=1683894820.4880936)
MoveEvent(x=202, y=249, time=1683894820.4958744)
MoveEvent(x=206, y=255, time=1683894820.5039754)
MoveEvent(x=211, y=260, time=1683894820.5111027)
MoveEvent(x=215, y=263, time=1683894820.520109)
MoveEvent(x=221, y=270, time=1683894820.527643)
MoveEvent(x=226, y=274, time=1683894820.5360904)
MoveEvent(x=232, y=281, time=1683894820.543395)
MoveEvent(x=240, y=286, time=1683894820.5521796)
MoveEvent(x=251, y=291, time=1683894820.5599062)
MoveEvent(x=262, y=298, time=1683894820.5681496)
MoveEvent(x=274, y=303, time=1683894820.5761466)
MoveEvent(x=291, y=310, time=1683894820.58411)
MoveEvent(x=303, y=315, time=1683894820.5912511)
MoveEvent(x=321, y=320, time=1683894820.6002054)
MoveEvent(x=337, y=323, time=1683894820.607604)
MoveEvent(x=352, y=326, time=1683894820.616144)
MoveEvent(x=365, y=327, time=1683894820.6237803)
MoveEvent(x=380, y=329, time=1683894820.631897)
MoveEvent(x=395, y=329, time=1683894820.6400857)
MoveEvent(x=411, y=329, time=1683894820.6475594)
MoveEvent(x=433, y=329, time=1683894820.6554897)
MoveEvent(x=455, y=329, time=1683894820.663613)
MoveEvent(x=471, y=329, time=1683894820.6721804)
MoveEvent(x=490, y=326, time=1683894820.6800675)
MoveEvent(x=504, y=325, time=1683894820.6881459)
MoveEvent(x=524, y=318, time=1683894820.6961462)
MoveEvent(x=536, y=316, time=1683894820.7032785)
MoveEvent(x=549, y=312, time=1683894820.7114995)
MoveEvent(x=563, y=306, time=1683894820.7199492)
MoveEvent(x=574, y=300, time=1683894820.7281463)
MoveEvent(x=585, y=295, time=1683894820.7354527)
